cas_number,compound_name,smiles,hmt_count,hmt_positive,hmt_result,human_positive,sensitization_human,llna_count,llna_positive,llna_result,hript_count,hript_positive,hript_result,gpmt_count,gpmt_result,dpra_count,dpra_mean,dpra_result,keratinosens_count,keratinosens_ec15,keratinosens_result,hclat_count,hclat_mean,hclat_result,usens_count,usens_cv70,usens_result,dpra_cys,dpra_lys,adra_nac,adra_nal,kdpra_log,hclat_ec200,hclat_cv75,usens_cv70_ssd,il8luc,irritation,irritation_viability_mean,corrosion,corrosion_ter_mean,human_test_count,human_reliability,dtxsid,irritation_viability_mean_exist,corrosion_ghs_score,has_sensitization,has_irritation,has_corrosion,endpoint_count,strat_key,has_nam_data,acute_dermal_ld50,acute_dermal_ld50_min,acute_dermal_ld50_max,acute_dermal_count,acute_dermal_ghs,has_acute_dermal,acute_dermal_source,acute_dermal_toxic,mol_weight,logp,tpsa,hbd,hba,num_rotatable_bonds,num_aromatic_rings,fraction_csp3
,,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12286.484856878476,,,,5.0,,NCI_RTECS,0.0,250.275,1.9306,74.60000000000001,2.0,4.0,2.0,2.0,0.0
,,CC(C)(OO)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985.5906633894716,,,,3.0,,NCI_RTECS,1.0,152.19299999999998,2.4113000000000007,29.46,1.0,2.0,2.0,1.0,0.3333333333333333
,,CC(=O)OC(C)(C)C1CCC(C)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7564.067656494775,,,,5.0,,NCI_RTECS,0.0,198.30599999999995,3.1544000000000016,26.3,0.0,2.0,2.0,0.0,0.9166666666666666
,,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9895.568756575984,,,,5.0,,NCI_RTECS,0.0,303.166,3.7611000000000017,43.370000000000005,0.0,3.0,3.0,2.0,0.0
,,O=S(=O)(Oc1ccc(Cl)cc1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2232.7990758112323,,,,5.0,,NCI_RTECS,0.0,268.721,3.107700000000001,43.370000000000005,0.0,3.0,3.0,2.0,0.0
,,C=C(Cl)C(=O)OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.0039823406452,,,,3.0,,NCI_RTECS,1.0,120.53499999999998,0.9119,26.3,0.0,2.0,1.0,0.0,0.25
,,C1C2OC2C2C1C1CC2C2OC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14615.965516718925,,,,5.0,,NCI_RTECS,0.0,164.20399999999998,0.8069999999999999,25.06,0.0,2.0,0.0,0.0,1.0
,,O=C1OC(=O)c2cccc3cccc1c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3065.441500901756,,,,5.0,,NCI_RTECS,0.0,198.177,2.1504000000000003,43.370000000000005,0.0,3.0,0.0,2.0,0.0
,,O=C1c2ccccc2-c2ccc(Br)c3cccc1c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940.7301047450624,,,,4.0,,NCI_RTECS,0.0,309.16200000000003,4.8137000000000025,17.07,0.0,1.0,0.0,3.0,0.0
,,O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.2746125276221,,,,2.0,,NCI_RTECS,1.0,340.3780000000001,4.709800000000003,54.37,1.0,3.0,3.0,3.0,0.0434782608695652
,,CCCOC(=O)C1c2cc3c(cc2CC(C)C1C(=O)OCCC)OCO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.41161955516816,,,,3.0,,NCI_RTECS,1.0,362.4220000000002,3.213700000000001,71.06000000000002,0.0,6.0,6.0,1.0,0.6
,,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.9684482961741,,,,3.0,,NCI_RTECS,1.0,394.4230000000001,3.703300000000002,63.22,0.0,6.0,3.0,2.0,0.3478260869565217
,,CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25394.67556147865,,,,5.0,,NCI_RTECS,0.0,236.27,3.024400000000001,34.14,0.0,2.0,1.0,2.0,0.125
,,Oc1c(Br)ccc2c(O)c(Br)ccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.0060766994204,,,,4.0,,NCI_RTECS,0.0,317.964,3.7760000000000007,40.46,2.0,2.0,0.0,2.0,0.0
,,O=C1c2ccccc2C(=O)c2ccccc21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.811465244281,,,,4.0,,NCI_RTECS,0.0,208.216,2.4620000000000006,34.14,0.0,2.0,0.0,2.0,0.0
,,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10777.875181301635,,,,5.0,,NCI_RTECS,0.0,278.348,3.3122000000000025,52.60000000000001,0.0,4.0,6.0,1.0,0.5
,,CCc1c(Br)c(Br)c(Br)c(Br)c1Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4793.787247123925,,,,5.0,,NCI_RTECS,0.0,500.648,6.061500000000001,0.0,0.0,0.0,1.0,1.0,0.25
,,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1803.8708049898848,,,,4.0,,NCI_RTECS,0.0,239.485,3.273900000000001,37.3,1.0,1.0,2.0,1.0,0.125
,,CCOC(=O)COC(=O)c1ccccc1C(=O)OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11267.647961150691,,,,5.0,,NCI_RTECS,0.0,266.249,1.1931,78.9,0.0,6.0,5.0,1.0,0.3076923076923077
,,O=NN(c1ccccc1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12016.647751435288,,,,5.0,,NCI_RTECS,0.0,198.225,3.5061000000000018,32.67,0.0,2.0,3.0,2.0,0.0
,,COP(=S)(OC)SCn1nnc2ccccc2c1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.19362681495407,,,,2.0,,NCI_RTECS,1.0,317.33200000000005,1.9995,66.24000000000001,0.0,8.0,5.0,2.0,0.3
,,ClCc1cccc2ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8491.559396089426,,,,5.0,,NCI_RTECS,0.0,176.646,3.5786000000000016,0.0,0.0,0.0,1.0,2.0,0.0909090909090909
,,NC(=O)Cc1cccc2ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239.286064859414,,,,5.0,,NCI_RTECS,0.0,185.226,1.8676,43.09,1.0,1.0,2.0,2.0,0.0833333333333333
,,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3811.362939548096,,,,5.0,,NCI_RTECS,0.0,236.136,-1.0621999999999998,123.20000000000005,0.0,8.0,4.0,0.0,1.0
,,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.04743798506183,,,,2.0,,NCI_RTECS,1.0,260.762,4.7574,0.0,0.0,0.0,1.0,0.0,0.0
,,C=CN1CCCC1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511.552579389607,,,,4.0,,NCI_RTECS,0.0,111.144,0.7523,20.31,0.0,1.0,1.0,0.0,0.5
,,O=[N+]([O-])c1ccccc1Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.6339590145031,,,,3.0,,NCI_RTECS,1.0,157.55599999999998,2.2482000000000006,43.14,0.0,2.0,1.0,1.0,0.0
,,O=[N+]([O-])c1ccccc1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17123.139968608783,,,,5.0,,NCI_RTECS,0.0,139.11,1.3003999999999998,63.370000000000005,1.0,3.0,1.0,1.0,0.0
