cas_number,compound_name,smiles,hmt_count,hmt_positive,hmt_result,human_positive,sensitization_human,llna_count,llna_positive,llna_result,hript_count,hript_positive,hript_result,gpmt_count,gpmt_result,dpra_count,dpra_mean,dpra_result,keratinosens_count,keratinosens_ec15,keratinosens_result,hclat_count,hclat_mean,hclat_result,usens_count,usens_cv70,usens_result,dpra_cys,dpra_lys,adra_nac,adra_nal,kdpra_log,hclat_ec200,hclat_cv75,usens_cv70_ssd,il8luc,irritation,irritation_viability_mean,corrosion,corrosion_ter_mean,human_test_count,human_reliability,dtxsid,irritation_viability_mean_exist,corrosion_ghs_score,has_sensitization,has_irritation,has_corrosion,endpoint_count,strat_key,has_nam_data,acute_dermal_ld50,acute_dermal_ld50_min,acute_dermal_ld50_max,acute_dermal_count,acute_dermal_ghs,has_acute_dermal,acute_dermal_source,acute_dermal_toxic,mol_weight,logp,tpsa,hbd,hba,num_rotatable_bonds,num_aromatic_rings,fraction_csp3
06947-12-2,6-(Diethylamino)-1-hexanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,,,,,,0.0,,,,,,,,,,
100-01-6,p-Nitroaniline,C1=CC(=CC=C1N)[N+](=O)[O-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,1085.9649882267886,,,,4.0,0.0,NCI_RTECS,0.0,138.126,1.177,69.16,1.0,3.0,1.0,1.0,0.0
100-06-01,4-methoxy-acetophenone,CC(=O)C1=CC=C(C=C1)OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,9988.213909661985,,,,5.0,0.0,NCI_RTECS,0.0,150.17699999999996,1.8978,26.3,0.0,2.0,2.0,1.0,0.2222222222222222
100-06-1,4'-Methoxyacetophenone,COC1=CC=C(C=C1)C(C)=O,4.0,False,0.0,False,0.0,2.0,False,0.0,,,,,,12.0,5.510000000000001,0.0,8.0,4.9,1.0,9.0,305.90000000000003,1.0,1.0,116.998,0.0,8.13,2.89,5.7,3.3,,,425.9957436,200.0,,,,,,1.0,3.0,DTXSID2044347,,,1.0,0.0,0.0,1.0,1_0_0,1.0,9988.213909661985,,,,5.0,0.0,NCI_RTECS,0.0,150.17699999999996,1.8978,26.3,0.0,2.0,2.0,1.0,0.2222222222222222
100-09-4,p-Anisic acid,COC1=CC=C(C=C1)C(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,,,,,,0.0,,,152.14899999999997,1.3934,46.53,1.0,2.0,2.0,1.0,0.125
100-11-8,4-Nitrobenzylbromide,[O-][N+](=O)C1=CC=C(CBr)C=C1,,,,,,1.0,False,0.0,,,,,,8.0,65.81,1.0,91.0,0.98,1.0,6.0,1.82,0.0,1.0,1512.238,1.0,100.0,31.62,100.0,57.7,-0.007079993,0.909995788,3.6,0.4,3.9,,,,,,,DTXSID7049392,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,216.034,2.4897,43.14,0.0,2.0,2.0,1.0,0.1428571428571428
100-14-1,1-(Chloromethyl)-4-nitrobenzene,C1=CC(=CC=C1CCl)[N+](=O)[O-],,,,,,,,,,,,,,,,,,3.97,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,171.58299999999997,2.333600000000001,43.14,0.0,2.0,2.0,1.0,0.1428571428571428
100-39-0,alpha-Bromotoluene,BrCC1=CC=CC=C1,,,,,,1.0,False,0.0,,,,,,8.0,63.25,1.0,7.0,4.6,1.0,6.0,4.5200000000000005,0.0,1.0,1.1,1.0,100.0,26.5,96.3,34.7,-0.43,2.859969648,7.499920406,15.2,1.6,,,,,,,DTXSID8024658,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,171.037,2.5815,0.0,0.0,0.0,1.0,1.0,0.1428571428571428
100-41-4,Ethylbenzene,CCC1=CC=CC=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID3020596,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,106.16799999999996,2.249000000000001,0.0,0.0,0.0,1.0,1.0,0.25
100-43-6,4-Vinylpyridine,C=CC1=CC=NC=C1,,,,,,2.0,True,1.0,,,,,,1.0,46.05,1.0,1.0,9.7,1.0,,,1.0,1.0,2.3,1.0,92.1,0.0,,,-1.04,5.700000068,11.40000013,6.9,,,,,,,,DTXSID0051499,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,105.14,1.7246,12.89,0.0,1.0,1.0,1.0,0.0
100-47-0,Benzonitrile,N#CC1=CC=CC=C1,8.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,DTXSID7021491,,,1.0,0.0,0.0,1.0,1_0_0,0.0,3490.942943678788,,,,5.0,0.0,NCI_RTECS,0.0,103.12399999999997,1.55828,23.79,0.0,1.0,0.0,1.0,0.0
100-51-6,Benzyl alcohol,OCC1=CC=CC=C1,4.0,False,0.0,True,1.0,1.0,False,0.0,28.0,True,1.0,,,1.0,5.05,1.0,5.0,1.23,1.0,5.0,883.3,1.0,,,0.0,2.1,8.0,0.3,0.5,,1000.0,1000.0,200.0,1333.3,1.0,75.82249999999999,,,5.0,3.6,DTXSID5020152,86.19714285714285,,1.0,1.0,0.0,2.0,1_1_0,1.0,5548.363227424671,,,,5.0,0.0,NCI_RTECS,0.0,108.13999999999996,1.1789,20.23,1.0,1.0,1.0,1.0,0.1428571428571428
100-52-7,Benzaldehyde,O=CC1=CC=CC=C1,8.0,False,0.0,False,0.0,,,,12.0,True,0.0,,,4.0,3.1750000000000003,0.0,5.0,2.28,1.0,12.0,349.52666666666664,1.0,1.0,59.002,0.0,5.4,0.95,100.0,13.7,,259.9,488.4,175.0,,,,,,4.0,3.0,DTXSID8039241,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,106.12399999999997,1.4991,17.07,0.0,1.0,1.0,1.0,0.0
100-66-3,Anisole,COC1=CC=CC=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID4041608,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,108.13999999999996,1.6952,9.23,0.0,1.0,1.0,1.0,0.1428571428571428
100-69-6,2-Vinylpyridine,C=CC1=NC=CC=C1,,,,,,1.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTXSID1026667,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,105.13999999999996,1.7246,12.89,0.0,1.0,1.0,1.0,0.0
100-86-7,"1,1-Dimethylphenylethanol",CC(C)(O)CC1=CC=CC=C1,8.0,False,0.0,False,0.0,,,,8.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.25,DTXSID1047601,,,1.0,0.0,0.0,1.0,1_0_0,0.0,9985.288350002358,,,,5.0,0.0,NCI_RTECS,0.0,150.221,2.0,20.23,1.0,1.0,2.0,1.0,0.4
10025-67-9,Sulfur monochloride,ClSSCl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.9,1.0,,,,DTXSID3042427,,,0.0,1.0,1.0,2.0,0_1_1,0.0,,,,,,0.0,,,135.04000000000002,2.6754,0.0,0.0,2.0,1.0,0.0,0.0
10025-75-9,Erbium (III) chloride hexahydrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,,,,,,0.0,,,,,,,,,,
10025-84-0,Lanthanum (III) chloride heptahydrate,O.O.O.O.O.O.O.[Cl-].[Cl-].[Cl-].[La+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,,,,,,0.0,,,371.37,-14.760899999999994,220.5,0.0,0.0,0.0,0.0,0.0
10025-91-9,Antimony trichloride,Cl[Sb](Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.25,1.0,,,,DTXSID4044161,,,0.0,1.0,1.0,2.0,0_1_1,0.0,,,,,,0.0,,,228.11900000000003,1.6877,0.0,0.0,0.0,0.0,0.0,0.0
10025-94-2,Yttrium (III) chloride hexahydrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,,,,,,0.0,,,,,,,,,,
10025-99-7,Tetrachloroplatinate,Cl[Pt-2](Cl)(Cl)Cl.[K+].[K+],,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,415.086,-3.2365000000000004,0.0,0.0,0.0,0.0,0.0,0.0
10026-13-8,Phosphorus pentachloride,ClP(Cl)(Cl)(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.08,1.0,,,,DTXSID9033896,,3.0,0.0,1.0,1.0,2.0,0_1_1,0.0,,,,,,0.0,,,208.23900000000003,4.308699999999999,0.0,0.0,0.0,0.0,0.0,0.0
10031-82-0,p-Ethoxybenzaldehyde,[H]C(=O)C1=CC=C(OCC)C=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID7022251,,,1.0,0.0,0.0,1.0,1_0_0,0.0,9988.213909661985,,,,5.0,0.0,NCI_RTECS,0.0,150.177,1.8978,26.3,0.0,2.0,3.0,1.0,0.2222222222222222
10031-92-2,"2-Nonynoic acid, ethyl ester",CCCCCCC#CC(=O)OCC,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID5064918,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,182.263,2.5233000000000008,26.3,0.0,2.0,5.0,0.0,0.7272727272727273
10031-96-6,Eugenyl formate,COC1=C(OC=O)C=CC(CC=C)=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID50143133,,,1.0,0.0,0.0,1.0,1_0_0,0.0,7803.802015897334,,,,5.0,0.0,NCI_RTECS,0.0,192.21399999999997,1.9589,35.53,0.0,3.0,5.0,1.0,0.1818181818181818
10032-00-5,Geranyl acetoacetate,CC(=O)CC(=O)OCC=C(/C)CCC=C(C)C,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID70893603,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,238.32699999999997,3.2014000000000022,43.370000000000005,0.0,3.0,7.0,0.0,0.5714285714285714
10032-02-7,Geranyl hexanoate,CCCCCC(=O)OCC=C(/C)CCC=C(C)C,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID20881398,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,252.39799999999997,4.802600000000004,26.3,0.0,2.0,9.0,0.0,0.6875
10032-05-0,"Heptane, 1,1-dimethoxy-",CCCCCCC(OC)OC,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID0064919,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,160.25699999999998,2.5757000000000003,18.46,0.0,2.0,7.0,0.0,1.0
10032-13-0,"Butanoic acid, 3-methyl-, hexyl ester",CCCCCCOC(=O)CC(C)C,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID4064921,,,1.0,0.0,0.0,1.0,1_0_0,0.0,8051.74587986604,,,,5.0,0.0,NCI_RTECS,0.0,186.295,3.156000000000001,26.3,0.0,2.0,7.0,0.0,0.9090909090909092
10032-15-2,Hexyl 2-methylbutanoate,CCCCCCOC(=O)C(C)CC,4.0,False,0.0,False,0.0,,,,,,,,,,,,,4000.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID4047599,,,1.0,0.0,0.0,1.0,1_0_0,1.0,8051.74587986604,,,,5.0,0.0,NCI_RTECS,0.0,186.295,3.156000000000001,26.3,0.0,2.0,7.0,0.0,0.9090909090909092
10034-88-5,Sodium bisulfate monohydrate,O.[Na+].OS([O-])(=O)=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,54.855555555555554,1.0,,,,DTXSID10143179,54.855555555555554,,0.0,1.0,1.0,2.0,0_1_1,0.0,,,,,,0.0,,,138.076,-4.816099999999999,108.93,1.0,3.0,0.0,0.0,0.0
10035-01-5,Ytterbium (III) chloride hexahydrate,O.O.O.O.O.O.Cl[Yb](Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,,,,,,0.0,,,387.4889999999999,-2.8797,189.0,0.0,0.0,0.0,0.0,0.0
10035-10-6,Hydrobromic acid,Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.893636363636364,1.0,,,,DTXSID0029713,6.655555555555555,,0.0,1.0,1.0,2.0,0_1_1,0.0,,,,,,0.0,,,80.91199999999999,0.5779000000000001,0.0,0.0,0.0,0.0,0.0,0.0
10039-54-0,Hydroxylamine sulfate (2:1),[NH3+]O.[NH3+]O.[O-]S([O-])(=O)=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,210.0,1.0,,,,DTXSID2025424,,1.0,0.0,1.0,1.0,2.0,0_1_1,0.0,,,,,,0.0,,,164.13899999999998,-4.103,176.0,4.0,6.0,0.0,0.0,0.0
10049-04-4,Chlorine dioxide,[O][Cl]=O,,,,,,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,DTXSID5023958,,,1.0,1.0,0.0,3.0,1_1_0,0.0,5000.0,5000.0,5000.0,1.0,5.0,1.0,,0.0,67.45100000000001,-1.3078,42.96,0.0,1.0,0.0,0.0,0.0
10058-43-2,"Benzeneethanol, .alpha.,.alpha.-dimethyl-, 1-formate",CC(C)(CC1=CC=CC=C1)OC=O,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID50864199,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,178.23099999999997,2.1807,26.3,0.0,2.0,4.0,1.0,0.3636363636363636
10094-34-5,"alpha,alpha-Dimethylphenethyl butyrate",CCCC(=O)OC(C)(C)CC1=CC=CC=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID5038830,,,1.0,0.0,0.0,1.0,1_0_0,0.0,6808.526085592154,,,,5.0,0.0,NCI_RTECS,0.0,220.312,3.3510000000000018,26.3,0.0,2.0,5.0,1.0,0.5
101-20-2,Triclocarban,ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1,,,,False,0.0,,,,8.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,DTXSID4026214,,,1.0,0.0,0.0,1.0,1_0_0,0.0,7.547839415259986,,,,1.0,0.0,NCI_RTECS,1.0,315.587,5.290800000000002,41.13,2.0,1.0,2.0,2.0,0.0
101-39-3,2-Methylcinnamic aldehyde,CC(C=O)=CC1=CC=CC=C1,4.0,False,0.0,False,0.0,1.0,False,0.0,,,,,,1.0,19.6,1.0,5.0,41.27,1.0,6.0,83.15333333333332,0.0,3.0,9.0,1.0,10.4,28.8,57.1,6.5,,70.15904014,138.9980983,200.0,25.0,,,,,1.0,3.0,DTXSID4025587,,,1.0,0.0,0.0,1.0,1_0_0,1.0,10260.689928816511,,,,5.0,0.0,NCI_RTECS,0.0,146.189,2.2888,17.07,0.0,1.0,2.0,1.0,0.1
101-41-7,Methyl phenylacetate,COC(=O)CC1=CC=CC=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID1044352,,,1.0,0.0,0.0,1.0,1_0_0,0.0,4794.342672491503,,,,5.0,0.0,NCI_RTECS,0.0,150.177,1.4021,26.3,0.0,2.0,2.0,1.0,0.2222222222222222
101-48-4,Phenylacetaldehyde dimethyl acetal,COC(CC1=CC=CC=C1)OC,12.0,True,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,DTXSID3047001,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,166.21999999999997,1.848,18.46,0.0,2.0,4.0,1.0,0.4
101-49-5,"1,3-Dioxolane, 2-(phenylmethyl)-",C(C1OCCO1)C1=CC=CC=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID1059230,,,1.0,0.0,0.0,1.0,1_0_0,0.0,4750.188793164717,,,,5.0,0.0,NCI_RTECS,0.0,164.204,1.602,18.46,0.0,2.0,2.0,1.0,0.4
101-68-8,Diphenylmethane diisocyanate,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,,,,,,,,,,,,,,,81.745,1.0,,121.79,1.0,,,1.0,,,,83.5,79.99,,,,71.5,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,250.257,3.2120000000000024,58.86,0.0,4.0,4.0,2.0,0.0666666666666666
101-72-4,N-Isopropyl-N'-phenyl-p-phenylenediamine,CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1,,,,,,1.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTXSID1025485,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,226.323,4.250500000000002,24.06,2.0,2.0,4.0,2.0,0.2
101-77-9,"4,4'-Methylenedianiline",C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,,,,,,,,,,,,,,,0.9349999999999999,0.0,,,,,,,,,,1.38,0.49,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1_0_0,1.0,302.61916855921675,,,,3.0,0.0,NCI_RTECS,1.0,198.269,2.4418,52.04,2.0,2.0,2.0,2.0,0.0769230769230769
101-81-5,Diphenylmethane,C(C1=CC=CC=C1)C1=CC=CC=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID1041891,,,1.0,0.0,0.0,1.0,1_0_0,0.0,8915.887515850922,,,,5.0,0.0,NCI_RTECS,0.0,168.239,3.277400000000002,0.0,0.0,0.0,2.0,2.0,0.0769230769230769
101-83-7,Dicyclohexylamine,C1CCC(CC1)NC2CCCCC2,,,,,,,,,,,,,,,2.435,0.0,,,,,,,,,,3.81,1.06,,,,,,,,1.0,200.435,0.0,139.174,,,DTXSID6025018,,1.0,1.0,1.0,1.0,3.0,1_1_1,1.0,,,,,,0.0,,,181.32299999999995,3.2414000000000023,12.03,1.0,1.0,2.0,0.0,1.0
101-84-8,Diphenyl oxide,O(C1=CC=CC=C1)C1=CC=CC=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID9021847,,,1.0,0.0,0.0,1.0,1_0_0,0.0,13994.395185421768,,,,5.0,0.0,NCI_RTECS,0.0,170.211,3.478900000000002,9.23,0.0,1.0,2.0,2.0,0.0
101-85-9,alpha-Amylcinnamyl alcohol,CCCCCC(CO)=CC1=CC=CC=C1,4.0,False,0.0,False,0.0,,,,12.0,True,0.0,,,,,,5.0,0.98,1.0,5.0,31.9,0.0,3.0,14.78,1.0,,,,,,17.7,29.3999212,40.0,,,,,,3.0,3.6666666666666665,DTXSID2049393,,,1.0,0.0,0.0,1.0,1_0_0,1.0,7341.67674794693,,,,5.0,0.0,NCI_RTECS,0.0,204.313,3.6426000000000025,20.23,1.0,1.0,6.0,1.0,0.4285714285714285
101-86-0,2-(Phenylmethylene)octanal,CCCCCCC(C=O)=CC1=CC=CC=C1,8.0,False,0.0,False,0.0,38.0,True,1.0,8.0,False,0.0,1.0,1.0,12.0,1.8166666666666667,0.0,95.0,1.145,1.0,55.0,31.281250000000004,0.0,3.0,4.86,1.0,2.966666666666667,0.6666666666666666,4.1,4.4,-2.07,,36.99948688,22.2,3.1,,,,,4.0,4.0,DTXSID4026684,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,216.324,4.239300000000004,17.07,0.0,1.0,7.0,1.0,0.4
101-94-0,p-Tolyl phenylacetate,CC1=CC=C(OC(=O)CC2=CC=CC=C2)C=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID7051509,,,1.0,0.0,0.0,1.0,1_0_0,0.0,6629.101760232922,,,,5.0,0.0,NCI_RTECS,0.0,226.27500000000003,3.143120000000001,26.3,0.0,2.0,3.0,2.0,0.1333333333333333
101-97-3,"Benzeneacetic acid, ethyl ester",CCOC(=O)CC1=CC=CC=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID6044353,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,164.204,1.7922,26.3,0.0,2.0,3.0,1.0,0.3
10101-53-8,Chromium sulfate (Cr2(SO4)3),[Cr+3].[Cr+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,8.0,True,1.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,DTXSID20890642,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,392.18100000000015,-4.018999999999999,240.78,0.0,12.0,0.0,0.0,0.0
10101-97-0,NiSO4,O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Ni+2],,,,,,,,,,,,,,,0.0,0.0,,329.0,1.0,,,1.0,,,1.0,0.0,0.0,,,-3.71,45.1,150.0,55.0,62.5,,,,,,,,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,262.846,-6.288699999999996,269.26,0.0,4.0,0.0,0.0,0.0
10101-97-0/7786-81-4,Nickel (II) sulfate,[O-]S(=O)(=O)[O-].[Ni+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,0.2,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,,,,,,0.0,,,154.75599999999997,-1.3404999999999996,80.25999999999999,0.0,4.0,0.0,0.0,0.0
10108-64-2,Cadmium chloride,Cl[Cd]Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,,,,,,0.0,,,183.318,1.3765,0.0,0.0,0.0,0.0,0.0,0.0
1011-12-7,"Cyclohexanone, 2-cyclohexylidene-",O=C1CCCCC1=C1CCCCC1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID30862512,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,178.27499999999995,3.3902000000000028,17.07,0.0,1.0,0.0,0.0,0.75
10118-90-8,Minocycline,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,,,,,,0.0,,,457.4830000000002,0.0300000000000018,164.63,5.0,9.0,3.0,1.0,0.4347826086956521
101200-48-0,Tribenuron-methyl,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1,,,,,,,,,,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,,,,DTXSID8024101,,,0.0,1.0,1.0,3.0,0_1_1,0.0,1517.4621969179443,2000.0,5000.0,3.0,4.0,1.0,NCI_RTECS,0.0,395.39700000000016,0.5099199999999997,140.68,1.0,9.0,5.0,2.0,0.2666666666666666
10124-43-3,Cobalt sulfate,[Co++].[O-]S([O-])(=O)=O,24.0,True,1.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,DTXSID1031042,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,154.99599999999998,-1.3405,80.25999999999999,0.0,4.0,0.0,0.0,0.0
10124-43-4,Cobalt sulfate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,,,,,,0.0,,,,,,,,,,
10124-48-8,Ammoniated mercury,[NH2-].[Cl-].[Hg++],148.0,True,1.0,True,1.0,,,,12.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,DTXSID70388766,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,252.066,-2.2814,33.5,0.0,0.0,0.0,0.0,0.0
10191-41-0,alpha-Tocopherol,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,,,,,,3.0,True,1.0,,,,,,1.0,0.0,0.0,,,,1.0,1000.0,1.0,,,,0.0,0.0,4.7,0.6,,,,,,,,,,,,DTXSID8021355,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,430.7170000000002,8.840260000000002,29.46,1.0,2.0,12.0,1.0,0.7931034482758621
10198-23-9,1-Methyl-4-(1-methylvinyl)cyclohexyl acetate,CC(=C)C1CCC(C)(CC1)OC(C)=O,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID6051510,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,196.29,3.0745000000000013,26.3,0.0,2.0,2.0,0.0,0.75
102-13-6,Isobutyl phenylacetate,CC(C)COC(=O)CC1=CC=CC=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID6051512,,,1.0,0.0,0.0,1.0,1_0_0,0.0,7802.016037954149,,,,5.0,0.0,NCI_RTECS,0.0,192.258,2.4283,26.3,0.0,2.0,4.0,1.0,0.4166666666666667
102-16-9,Benzyl phenylacetate,O=C(CC1=CC=CC=C1)OCC1=CC=CC=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID6024597,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,226.275,2.972500000000001,26.3,0.0,2.0,4.0,2.0,0.1333333333333333
